4.34148,0.0769229,0.00937322,0.000105206,-3.75362
6.337,0.256071,0.0323897,0.000720064,-7.50612
7.12096,0.481061,0.0606443,0.00202271,-11.2534
7.42739,0.730371,0.0907863,0.00402355,-14.9886
7.54231,0.995381,0.121498,0.00667421,-18.7029
7.57708,1.27234,0.152254,0.00990638,-22.3864
7.575,1.55934,0.182842,0.013646,-26.0282
7.55289,1.85518,0.213167,0.0178189,-29.6167
7.51728,2.1589,0.243186,0.0223531,-33.1395
7.47072,2.4696,0.272872,0.0271801,-36.5835
7.41427,2.78637,0.302204,0.032236,-39.9352
7.34842,3.10823,0.331167,0.0374617,-43.1806
7.27347,3.43417,0.359742,0.0428041,-46.3055
7.18968,3.7631,0.387914,0.0482161,-49.2956
7.09732,4.09386,0.415664,0.0536575,-52.1367
6.99667,4.42525,0.442972,0.0590951,-54.815
6.88802,4.75601,0.469819,0.0645033,-57.3171
6.77169,5.08484,0.496182,0.0698644,-59.6302
6.64799,5.4104,0.522039,0.0751685,-61.7427
6.51725,5.73136,0.547367,0.0804138,-63.6436
6.37976,6.04637,0.57214,0.0856066,-65.3234
6.23583,6.35408,0.596336,0.0907607,-66.7742
6.08574,6.65319,0.619928,0.0958978,-67.9892
5.92972,6.94243,0.642891,0.101046,-68.9635
5.76803,7.22059,0.665201,0.106242,-69.6938
5.60087,7.48655,0.686835,0.111525,-70.1788
5.42842,7.73927,0.707767,0.116941,-70.4187
5.25087,7.9778,0.727976,0.122543,-70.4157
5.06838,8.20131,0.74744,0.128383,-70.1736
4.8811,8.40911,0.766138,0.134518,-69.698
4.68919,8.60061,0.784052,0.141005,-68.996
4.49282,8.77537,0.801161,0.147905,-68.0762
4.29215,8.93307,0.817448,0.155275,-66.9484
4.08738,9.07353,0.832897,0.163172,-65.6237
3.87874,9.19669,0.847491,0.171651,-64.114
3.66645,9.3026,0.861212,0.180765,-62.4323
3.4508,9.39145,0.874047,0.190561,-60.5919
3.23209,9.46352,0.885978,0.201085,-58.6066
3.01066,9.51918,0.896989,0.212375,-56.4907
2.78687,9.55889,0.907063,0.224466,-54.2582
2.5611,9.58317,0.916183,0.237386,-51.9233
2.33379,9.59263,0.924331,0.251159,-49.5
2.10535,9.5879,0.931488,0.2658,-47.0019
1.87625,9.56966,0.937634,0.28132,-44.4422
1.64695,9.53863,0.942749,0.297723,-41.8334
1.4179,9.49554,0.946811,0.315007,-39.1875
1.18956,9.44112,0.949798,0.333163,-36.516
0.962405,9.37613,0.951687,0.352178,-33.8293
0.73686,9.30131,0.952455,0.37203,-31.1375
0.513355,9.21739,0.952078,0.392694,-28.4495
